category,compatibility,languages,name,price,rating,size
 Business, OS X 10.10.0  ," English, Amharic, Arabic, Bengali, Bulgarian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Filipino, Finnish, French, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Kannada, Korean, Latvian, Lithuanian, Malay, Malayalam, Marathi, Norwegian Bokmí«l, Persian, Polish, Portuguese, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Slovenian, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",OnSIP,Free,3.9, 210 MB
 Graphics & Design, OS X 10.9  , English,OnScreen Barcode Scanner,$5.99 ,1, 1.3 MB
 Developer Tools, OS X 10.9  , English,OneTrack Bug Tracker,$30.99 ,, 6.7 MB
 Productivity, OS 10.13  ," English, Japanese",OneOffice i-Disk,Free,, 2.5 MB
 Business, OS X 10.10  , English,Onelog Mobile,,, 297.6 KB
 Business, OS X 10.10  , English,OneDocs - For Office 365 Online and PDF tools,$8.99 ,2.4, 912 KB
 Business, OS X 10.6.6  ,,Oneboard,Free,3.5, 19 MB
 Business, OS X 10.10  , English,OnCore,Free,, 5.1 MB
 Business, OS X 10.6.6 or later, English,On The Job,$39.99 ,2.7, 4.7 MB
 Business, OS X 10.7.4  , English,On Site Backup,$19.99 ,1, 19.6 MB
 Business, OS 10.14  ," English, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish",OmniPlan 3 Enterprise,$399.99 ,, 84.4 MB
 Business, OS 10.14  ," English, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish",OmniPlan 3,Free,2.8, 84.8 MB
 Productivity, OS 10.13  ," English, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish",OmniOutliner 5,Free,3.9, 39.8 MB
 Graphics & Design, OS 10.14  ," English, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish",OmniGraffle 7 Enterprise,$249.99 ,, 60.5 MB
 Graphics & Design, OS 10.14  ," English, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish",OmniGraffle 7,Free,2.6, 61.2 MB
 Productivity, OS 10.13.2  ," English, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish",OmniFocus 3,Free,3.9, 34.1 MB
 Business, OS X 10.8  , English,OLMConverter Plus,$4.99 ,2.4, 469.6 KB
 Utilities, OS X 10.7  , English,OLM To PST Converter Ultimate - AppEd,$48.99 ,1, 15 MB
 Utilities, OS X 10.7  , English,OLM To PST Converter Pro - AppEd,$38.99 ,5, 14.5 MB
 Utilities, OS X 10.7  , English,OLM File Converter,$6.99 ,4, 13.3 MB
 Business, OS X 10.7  , English,OLM Converter Pro - AppEd,$38.99 ,5, 15.1 MB
 Utilities, OS X 10.7  , English,OLM Converter Ultimate - AppEd,$48.99 ,5, 15.7 MB
 Finance, OS X 10.10  ," English, Simplified Chinese, Traditional Chinese",OKCoin - Bitcoin,Free,2, 3 MB
 Business, OS X 10.10  , English,Offline Pages Pro,,2.7, 1.6 MB
 Business, OS 10.12  , English,Officetree Messenger,Free,, 24.5 MB
 Health & Fitness, OS X 10.6.6 or later, English,Office Yoga: At Your Desk,$2.99 ,, 21.9 MB
 Productivity, OS 10.12  , English,Office Viewer for Safari,$1.99 ,1, 4.4 MB
 Business, OS X 10.11  , English,"Office Chat, Work Messaging",Free,1.3, 10 MB
 Business, OS X 10.10  , English,OCR App by LEADTOOLS,Free,3.8, 39.2 MB
 Productivity, OS 10.13  ," English, Traditional Chinese",Oakafí© POS,$46.99 ,, 5.1 MB
 Developer Tools, OS X 10.9  , English,Objective-C to Java - O2J automatic source code translator,Free,1, 4.7 MB
 Productivity, OS 10.14 or later," English, Arabic, Catalan, Chinese (Hong Kong), Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Numbers,Free,3.2, 205.2 MB
 Business, OS X 10.7 or later, English,Number Press,$79.99 ,4, 11.4 MB
 Business, OS X 10.10.0  , English,NRGship for UPS,Free,4.4, 3.3 MB
 Business, OS 10.12  ," English, Dutch, French, German, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish",Nozbe: Productive team,Free,4.8, 9.3 MB
 Utilities, OS X 10.10  , English,Now and Next,$0.99 ,1, 3.8 MB
 Utilities, OS X 10.7  , English,NouveauPG,$29.99 ,3.8, 2.2 MB
 Productivity, OS X 10.10  ," English, French, German, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish",Notes HD,$4.99 ,1.8, 68.9 MB
 Business, OS 10.12  ," English, German",NotePlan - Work Planner,Free,3.4, 15.9 MB
 Business, OS X 10.8  , English,"Notepad Pro - for Highlight, Daily Notes, Markdown",$7.99 ,1, 14.2 MB
 Utilities, OS X 10.7  , English,Notepad - Simple TXT Editor,$0.99 ,4.2, 445 KB
 Productivity, OS X 10.10  , English,NoteList,$3.99 ,1, 6.4 MB
 Productivity, OS 10.12  , English,Notelife - note manager,Free,2.1, 12.4 MB
 Productivity, OS 10.13  ," English, Arabic, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish",Noted,Free,4.6, 67.5 MB
 Productivity, OS X 10.11  , English,Notebooks - Write and Organize,$35.99 ,5, 11.8 MB
 Productivity, OS X 10.10  , English,Notea,$0.99 ,3.8, 5.7 MB
 Productivity, OS X 10.10  , English,Note-Ify Notes,$6.99 ,3.3, 4.6 MB
 Productivity, OS X 10.10  ," English, Dutch, French, German, Italian, Russian, Spanish",Notate - get organized & stay productive,Free,1.7, 4.9 MB
 Utilities, OS 10.14  , English,Nomad Time,$1.99 ,, 7.1 MB
 Productivity, OS X 10.9  , English,Noko Time Tracking,Free,3.7, 4 MB
 Productivity, OS X 10.11  , English,Nisus Writer Pro 3,$64.99 ,4.8, 254.6 MB
 Productivity, OS X 10.11  , English,Nisus Writer Express 4,$25.99 ,4, 73.2 MB
 Business, OS X 10.10  ," English, Catalan, French, German, Italian, Polish, Russian, Simplified Chinese, Spanish, Traditional Chinese",Ninox Database,$34.99 ,4.1, 8.1 MB
 Finance, OS X 10.9  , English,Nifty Savings Goal,$1.99 ,, 12.4 MB
 Business, OS X 10.10  , English,Nifty Invoices,Free,2, 2.7 MB
 Business, OS X 10.6.6 or later," English, Spanish",Nifone,Free,5, 273 KB
 Productivity, OS X 10.6.6 or later," English, Bengali, Dutch, French, German, Italian, Portuguese",NFOView,$3.99 ,5, 6.4 MB
 Productivity, OS 10.12  ," English, French, Japanese, Korean, Simplified Chinese",NextCont,,, 12.1 MB
 Productivity, OS X 10.11  ," English, French",Next Meeting,Free,4.6, 10.2 MB
 Finance, OS 10.14  ," English, French, German, Japanese, Simplified Chinese, Traditional Chinese",Next - Expenses And Finances,$8.99 ,2.9, 10.6 MB
 Business, OS X 10.11  ," English, Dutch, French, German, Greek, Italian, Japanese, Korean, Norwegian Bokmí«l, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Ukrainian",Newton - Supercharged emailing,Free,4.2, 22.6 MB
 Business, OS X 10.7  , English,Newsletter Visual Builder - Mercury,$4.99 ,1, 9.2 MB
 News, OS X 10.10  ," English, Danish, Dutch, Finnish, French, German, Greek, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmí«l, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Vietnamese",News Headlines: App for Google,$0.99 ,4.1, 2.8 MB
 Business, OS X 10.7 or later," English, Bengali, Dutch, French, German, Italian, Portuguese",New WebsiteMonitor,$10.99 ,5, 8.7 MB
 Productivity, OS X 10.10  , English,New File Menu Free,Free,3.6, 5.1 MB
 Business, OS X 10.11  , English,New Edge,Free,5, 9.6 MB
 Business, OS 10.14  , English,Network Mom Availability,$9.99 ,5, 17 MB
 Business, OS 10.14  , English,Network Mom ACL Analyzer,$9.99 ,, 4.9 MB
 Utilities, OS X 10.7  , English,Network Logger IT,$29.99 ,3.3, 5.5 MB
 Business, OS X 10.7  , English,Network Inventory Advisor,Free,1.4, 3.9 MB
 Utilities, OS 10.13  ," English, French, German, Japanese, Portuguese, Spanish",NetSpot PRO Wi-Fi Reporter,$149.99 ,, 10.5 MB
 Utilities, OS 10.13  ," English, French, German, Japanese, Portuguese, Spanish",NetSpot Home,$49.99 ,3, 10.5 MB
 Utilities, OS X 10.11  ," English, French, German, Italian",NetShade,Free,4, 7.5 MB
 Business, OS X 10.6 or later,,NetConference,Free,3, 39.8 MB
 Business, OS X 10.10  , English,NET_Toolkit,Free,5, 18.3 MB
 Productivity, OS 10.12  ," English, Arabic, Chinese, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Italian, Japanese, Korean, Norwegian Bokmí«l, Polish, Portuguese, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish",NeoOffice,$29.99 ,3.4, 254.4 MB
 Business, OS X 10.6  , English,NCIDQ Tests,$6.99 ,1, 9.8 MB
 Utilities, OS X 10.10  , English,NC World Clocks - Notication Center World Clocks,$1.99 ,5, 559.7 KB
 Graphics & Design, OS X 10.6 or later, English,Nature Art,$9.99 ,3, 153.7 MB
 Education, OS X 10.7  , English,National Counselor Exam Prep,$4.99 ,1, 5.4 MB
 Business, OS X 10.8  ," English, Russian",Nano Services Booking,$7.99 ,5, 3.6 MB
 Business, OS X 10.8  ," English, Russian",Nano Service Management,$7.99 ,, 3.8 MB
 Business, OS X 10.8  ," English, Russian",Nano Sales Manager,$9.99 ,3, 5.6 MB
 Business, OS X 10.8  ," English, Russian",Nano Inventory,$9.99 ,3.3, 3.9 MB
 Business, OS X 10.8  ," English, Russian",Nano Hotel Booking,$9.99 ,5, 6 MB
 Finance, OS X 10.8  ," English, Russian",Nano Home Inventory,$7.99 ,2, 9 MB
 Business, OS X 10.10  ," English, Russian, Ukrainian",Nano Enterprise,$14.99 ,2.5, 5.7 MB
 Business, OS X 10.9  ," English, Russian",Nano Employee Timesheet,$9.99 ,1, 7.6 MB
 Finance, OS X 10.8  ," English, Russian",Nano Balance Sheet,$9.99 ,3, 4.9 MB
 Productivity, OS X 10.6 or later, English,Nag,Free,3.8, 5.2 MB
 Finance, OS X 10.7 or later, English,MyMoney Free,Free,1.4, 102.2 MB
 Finance, OS X 10.7 or later, English,MyMoney,$49.99 ,1.2, 100.3 MB
 Business, OS X 10.6.6 or later, English,MyLittleOCR,$2.99 ,1, 6.1 MB
 Business, OS X 10.6.6 or later, English,MyLittleFTP,$4.99 ,1, 2.2 MB
 Business, OS X 10.10  , English,MyEterm,$25.99 ,, 3.2 MB
 Utilities, OS X 10.6.6 or later, English,MyCDBurner,$1.99 ,1, 4.8 MB
 Business, OS 10.12  , English,My Wireless Information,$4.99 ,, 4.6 MB
 Business, OS 10.12  ," English, Russian",My Warehouse,$9.99 ,, 11.1 MB
 Business, OS 10.12  , English,My Recent Documents,$1.99 ,, 5 MB
 Video, OS X 10.6.6 or later, English,My MP4 Trimmer,$4.99 ,1, 1.3 MB
 Finance, OS X 10.9  , English,My Mortgage Calculator,$1.99 ,2.7, 2.3 MB
 Finance, OS X 10.9  , English,My Loan Calculator,$0.99 ,3.5, 1.1 MB
 Business, OS X 10.9  , English,My Eyes Only,$10.99 ,3.1, 12.3 MB
 Productivity, OS X 10.9  , English,MW Bundle for MS Office,$39.99 ,1, 38.8 MB
 Education, OS X 10.10  , English,Multiple Linear Regression,$4.99 ,1, 10.6 MB
 Education, OS X 10.10  , English,Multiple Curvilinear Reg,$4.99 ,, 10.8 MB
 Productivity, OS 10.13  , English,MultiDrive for Google Drive,$6.99 ,5, 33.7 MB
 Business, OS X 10.8 or later, English,MultiClient,$9.99 ,2, 2.8 MB
 Finance, OS X 10.7  , English,Multi Trend Pro IEX t&b,Free,, 3.7 MB
 Finance, OS X 10.8  , English,Multi Trend Pro IEX ed.,$29.99 ,1, 2.9 MB
 Finance, OS X 10.8  , English,Multi Trend Pro,Free,3.8, 2.9 MB
 Education, OS X 10.7  , English,MSP Certification Prep,$3.99 ,, 576.1 KB
 Business, OS X 10.7  , English,Msg Viewer Pro,$4.99 ,4.2, 5.8 MB
 Business, OS X 10.9  ," English, Arabic, Czech, Danish, Dutch, Finnish, French, German, Hebrew, Indonesian, Italian, Japanese, Korean, Norwegian Bokmí«l, Persian, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Turkish, Ukrainian, Vietnamese",MSG Viewer for Outlook Pro,$18.99 ,4.2, 15.5 MB
 Business, OS X 10.9  ," English, Arabic, Czech, Danish, Dutch, Finnish, French, German, Hebrew, Indonesian, Italian, Japanese, Korean, Norwegian Bokmí«l, Persian, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Turkish, Ukrainian, Vietnamese",MSG Viewer for Outlook,Free,2.1, 15.5 MB
 Business, OS X 10.11  ," English, Japanese, Simplified Chinese",MotionPro Plus,Free,1.4, 3.4 MB
 Productivity, OS X 10.6.6  ," English, French, Japanese",MSG - Viewer & Extractor,$1.99 ,1, 2.4 MB
 Finance, OS X 10.6 or later, English,Mortgage Calculator - Financial Toolkit,$1.99 ,3, 4.7 MB
 Business, OS X 10.7 or later, English,MotionDetect,$4.99 ,1, 1.5 MB
 Finance, OS X 10.6  , English,Mortgage Calculator,$1.99 ,4, 2 MB
 Productivity, OS 10.12  , English,Moonlight for Freelancers,Free,3, 9.8 MB
 Finance, OS X 10.10.0  ," English, Amharic, Arabic, Bengali, Bulgarian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Filipino, Finnish, French, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Kannada, Korean, Latvian, Lithuanian, Malay, Malayalam, Marathi, Norwegian Bokmí«l, Persian, Polish, Portuguese, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Slovenian, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Moonitor,$22.99 ,, 75.6 MB
 Finance, OS X 10.10  ," English, Danish, Dutch, Finnish, French, German, Greek, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmí«l, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Vietnamese",Mortgage,$1.99 ,1, 1.4 MB
 Finance, OS X 10.11.0  , English,Moonie,Free,, 41 MB
 Business, OS X 10.10  ," English, Dutch, Finnish, French, German, Italian, Spanish, Swedish, Thai",Moon Invoice äóñ Easy Invoicing,Free,4.3, 17.6 MB
 Business, OS X 10.9  , English,"Moon Invoice - Estimate, purchase order, timesheet",$99.99 ,4.2, 25.1 MB
 Finance, OS X 10.8  ," English, German, Italian, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Thai",Monthly Expenses,$4.99 ,4, 2.8 MB
 Finance, OS 10.13  , English,Monthly Budget,$6.99 ,1, 7 MB
 Business, OS 10.13  , English,Monitor Exchange for Bitso,$0.99 ,, 3.4 MB
 Utilities, OS X 10.9  , English,Monitor Banda Larga,Free,1.3, 1.6 MB
 Finance, OS 10.12  ," English, Belarusian, Bulgarian, Catalan, Czech, Dutch, French, German, Hungarian, Indonesian, Italian, Japanese, Korean, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Turkish, Ukrainian",MoneyWiz 3 - Fiat & Crypto,Free,4.4, 27.3 MB
 Finance, OS 10.12  , English,MoneySpider,$5.99 ,1, 1.9 MB
 Finance, OS X 10.8  ," English, Belarusian, Bulgarian, Catalan, Czech, Dutch, French, German, Hungarian, Indonesian, Italian, Japanese, Korean, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Turkish, Ukrainian",MoneyWiz 2 - Personal Finance,$19.99 ,4.5, 20.6 MB
 Developer Tools, OS X 10.9  ," English, Simplified Chinese",MongoDBX,$8.99 ,1, 5.8 MB
 Finance, OS X 10.10  ," English, French, German, Spanish",MoneyControl - Income and Expense tracker,Free,4.1, 4.5 MB
 Finance, OS 10.15  ," English, Albanian, Dutch, French, German, Hindi, Italian, Japanese, Korean, Malay, Portuguese, Russian, Simplified Chinese, Spanish, Thai",MoneyCoach,Free,3, 23.4 MB
 Finance, OS X 10.11  ," English, Arabic, Danish, Dutch, French, German, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Polish, Portuguese, Russian, Simplified Chinese, Slovak, Spanish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Money Pro: Personal Finance,$29.99 ,3.5, 34.7 MB
 Finance, OS X 10.10  ," English, Simplified Chinese, Traditional Chinese",Money Manager- Expense Tracker,$9.99 ,, 3.9 MB
 Finance, OS X 10.10  ," English, Arabic, Danish, Dutch, French, German, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Polish, Portuguese, Russian, Simplified Chinese, Slovak, Spanish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Money (with sync),Free,3.3, 113.6 MB
 Social Networking, OS X 10.10  , English,Monal - XMPP chat,Free,3, 2.4 MB
 Business, OS X 10.11  ," English, Indonesian, Korean, Spanish, Vietnamese",MofficeTalk,Free,, 16.3 MB
 Business, OS X 10.11  ," English, Korean",Moffice CRMCall,Free,, 7.3 MB
 Business, OS X 10.10  , English,Moffice AutoSync,Free,, 8.5 MB
 Graphics & Design, OS X 10.7  , English,Mockup,$4.99 ,, 8.3 GB
 Business, OS X 10.9  , English,Mocha TN5250 Lite,Free,1, 1.3 MB
 Business, OS X 10.9  , English,Mocha TN5250,$29.99 ,2, 1.3 MB
 Business, OS X 10.9  , English,Mocha TN3270 Lite,Free,2, 1.8 MB
 Business, OS X 10.9  , English,Mocha TN3270,$29.99 ,2.7, 1.8 MB
 Business, OS 10.12  ," English, French, German, Italian, Japanese, Spanish",Mobility,Free,4.6, 3.1 MB
 Business, OS X 10.9  , English,MobilePASS,Free,2, 4.9 MB
 Business, OS 10.13  , English,MobileIron Tunnel,Free,, 2.7 MB
 Utilities, OS X 10.6 or later," English, Simplified Chinese, Traditional Chinese",MobileEye_Desktop,Free,3, 3.6 MB
 Productivity, OS 10.13  , English,Mobile CRM Anywhere,Free,, 13 MB
 Business, OS X 10.10  , English,Miya Translate,$0.99 ,4, 973.4 KB
 Business, OS X 10.11  , English,Mmm Templates for Pages L Lt,Free,2.9, 59.8 MB
 Business, OS X 10.10.0  ," English, Amharic, Arabic, Bengali, Bulgarian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Filipino, Finnish, French, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Kannada, Korean, Latvian, Lithuanian, Malay, Malayalam, Marathi, Norwegian Bokmí«l, Persian, Polish, Portuguese, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Slovenian, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Mirror's Photo,Free,, 55.5 MB
 Video, OS X 10.10  , English,Mirror for Samsung TV,$9.99 ,2.9, 12 MB
 Graphics & Design, OS X 10.11.5  , English,Mini QR Contacts 2,$6.99 ,5, 3.5 MB
 Business, OS X 10.8  ," English, Danish",MindView 7,$349.99 ,, 270.8 MB
 Business, OS X 10.8  , English,MindView 6,$349.99 ,, 213.6 MB
 Productivity, OS 10.13  ," English, Arabic, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese",MindNode 6,Free,4.7, 22.9 MB
 Productivity, OS X 10.9  ," English, French, German",Mindcad Incubator,$10.99 ,5, 1.4 MB
 Business, OS X 10.7  , English,Mind Map Pro,$9.99 ,2.8, 531 KB
 Productivity, OS 10.12  ," English, Arabic, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish",Microsoft Word,Free,4.2, 1.1 GB
 Business, OS X 10.9  , English,Microsoft Remote Desktop 8,Free,3.1, 13.9 MB
 Business, OS 10.12  , English,Microsoft Remote Desktop 10,Free,2.9, 19.3 MB
 Productivity, OS 10.12  ," English, Arabic, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish",Microsoft PowerPoint,Free,4.3, 732.3 MB
 Productivity, OS 10.12  ," English, Arabic, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish",Microsoft Outlook,Free,4, 800 MB
 Productivity, OS 10.12  ," English, Arabic, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish",Microsoft Excel,Free,4.2, 814.4 MB
 Utilities, OS X 10.9  , English,Microphone Volume Monitor,Free,5, 293.5 KB
 Business, OS X 10.11  ," English, Chinese, Danish, Dutch, Finnish, French, German, Italian, Norwegian, Polish, Portuguese, Russian, Spanish, Swedish, Traditional Chinese",MiCollab,Free,4.1, 69.4 MB
 Business, OS X 10.6 or later," English, Simplified Chinese, Traditional Chinese",MEyePro,$9.99 ,1.5, 2.9 MB
 Business, OS X 10.6 or later, English,MEye,Free,1.8, 2.8 MB
 Business, OS X 10.9.0  ," English, Amharic, Arabic, Bengali, Bulgarian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Filipino, Finnish, French, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Kannada, Korean, Latvian, Lithuanian, Malay, Malayalam, Marathi, Norwegian Bokmí«l, Persian, Polish, Portuguese, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Slovenian, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",MEVISIO,Free,, 49.1 MB
 Business, OS 10.14  , English,Metaset,$5.99 ,, 7.9 MB
 Productivity, OS X 10.6  , English,Metanota,Free,3.3, 8.8 MB
 Productivity, OS X 10.11  ," English, Russian",Metal Calculator 3D,$4.99 ,, 6.1 MB
 Utilities, OS X 10.6.6 or later, English,MetaClean Full,$44.99 ,3, 55.1 MB
 Utilities, OS X 10.6.6 or later, English,MetaClean for PDF Documents,$21.99 ,, 68 MB
 Business, OS 10.13  , English,MesaMeter,Free,, 42.3 MB
 Utilities, OS 10.14  , English,MesaClip,$0.99 ,, 9.8 MB
 Business, OS X 10.11.6  ," English, French, German, Japanese, Simplified Chinese, Spanish",Merlin Project: Gantt & Kanban,Free,3.8, 25.3 MB
 Productivity, OS X 10.11.6  ," English, French, German, Japanese, Simplified Chinese, Spanish",Merlin Project Express - Gantt,Free,3.5, 25.4 MB
