,category,compatibility,name,price,rating,size,total_languages,price_category
48, Utilities, OS X 10.7  ,OLM To PST Converter Pro - AppEd,39,5.0, 14.5 MB,1,1
49, Utilities, OS X 10.7  ,OLM File Converter,7,4.0, 13.3 MB,1,1
50, Business, OS X 10.7  ,OLM Converter Pro - AppEd,39,5.0, 15.1 MB,1,1
51, Utilities, OS X 10.7  ,OLM Converter Ultimate - AppEd,49,5.0, 15.7 MB,1,1
52, Finance, OS X 10.10  ,OKCoin - Bitcoin,0,2.0, 3 MB,3,0
53, Business, OS X 10.10  ,Offline Pages Pro,-1,2.7, 1.6 MB,1,0
54, Business, OS 10.12  ,Officetree Messenger,0,0.0, 24.5 MB,1,0
55, Health & Fitness, OS X 10.6.6 or later,Office Yoga: At Your Desk,3,0.0, 21.9 MB,1,1
56, Productivity, OS 10.12  ,Office Viewer for Safari,2,1.0, 4.4 MB,1,1
57, Business, OS X 10.11  ,"Office Chat, Work Messaging",0,1.3, 10 MB,1,0
58, Business, OS X 10.10  ,OCR App by LEADTOOLS,0,3.8, 39.2 MB,1,0
59, Productivity, OS 10.13  ,Oakaf© POS,47,0.0, 5.1 MB,2,1
60, Developer Tools, OS X 10.9  ,Objective-C to Java - O2J automatic source code translator,0,1.0, 4.7 MB,1,0
61, Productivity, OS 10.14 or later,Numbers,0,3.2, 205.2 MB,34,0
62, Business, OS X 10.7 or later,Number Press,80,4.0, 11.4 MB,1,1
63, Business, OS X 10.10.0  ,NRGship for UPS,0,4.4, 3.3 MB,1,0
64, Business, OS 10.12  ,Nozbe: Productive team,0,4.8, 9.3 MB,14,0
65, Utilities, OS X 10.10  ,Now and Next,1,1.0, 3.8 MB,1,1
66, Utilities, OS X 10.7  ,NouveauPG,30,3.8, 2.2 MB,1,1
67, Productivity, OS X 10.10  ,Notes HD,5,1.8, 68.9 MB,9,1
68, Business, OS 10.12  ,NotePlan - Work Planner,0,3.4, 15.9 MB,2,0
69, Business, OS X 10.8  ,"Notepad Pro - for Highlight, Daily Notes, Markdown",8,1.0, 14.2 MB,1,1
70, Utilities, OS X 10.7  ,Notepad - Simple TXT Editor,1,4.2, 445 KB,1,1
71, Productivity, OS X 10.10  ,NoteList,4,1.0, 6.4 MB,1,1
72, Productivity, OS 10.12  ,Notelife - note manager,0,2.1, 12.4 MB,1,0
73, Productivity, OS 10.13  ,Noted,0,4.6, 67.5 MB,14,0
74, Productivity, OS X 10.11  ,Notebooks - Write and Organize,36,5.0, 11.8 MB,1,1
75, Productivity, OS X 10.10  ,Notea,1,3.8, 5.7 MB,1,1
76, Productivity, OS X 10.10  ,Note-Ify Notes,7,3.3, 4.6 MB,1,1
77, Productivity, OS X 10.10  ,Notate - get organized & stay productive,0,1.7, 4.9 MB,7,0
78, Utilities, OS 10.14  ,Nomad Time,2,0.0, 7.1 MB,1,1
79, Productivity, OS X 10.9  ,Noko Time Tracking,0,3.7, 4 MB,1,0
80, Productivity, OS X 10.11  ,Nisus Writer Pro 3,65,4.8, 254.6 MB,1,1
81, Productivity, OS X 10.11  ,Nisus Writer Express 4,26,4.0, 73.2 MB,1,1
82, Business, OS X 10.10  ,Ninox Database,35,4.1, 8.1 MB,10,1
83, Finance, OS X 10.9  ,Nifty Savings Goal,2,0.0, 12.4 MB,1,1
84, Business, OS X 10.10  ,Nifty Invoices,0,2.0, 2.7 MB,1,0
85, Business, OS X 10.6.6 or later,Nifone,0,5.0, 273 KB,2,0
86, Productivity, OS X 10.6.6 or later,NFOView,4,5.0, 6.4 MB,7,1
87, Productivity, OS 10.12  ,NextCont,-1,0.0, 12.1 MB,5,0
88, Productivity, OS X 10.11  ,Next Meeting,0,4.6, 10.2 MB,2,0
89, Finance, OS 10.14  ,Next - Expenses And Finances,9,2.9, 10.6 MB,6,1
90, Business, OS X 10.11  ,Newton - Supercharged emailing,0,4.2, 22.6 MB,16,0
91, Business, OS X 10.7  ,Newsletter Visual Builder - Mercury,5,1.0, 9.2 MB,1,1
92, News, OS X 10.10  ,News Headlines: App for Google,1,4.1, 2.8 MB,22,1
93, Business, OS X 10.7 or later,New WebsiteMonitor,11,5.0, 8.7 MB,7,1
94, Productivity, OS X 10.10  ,New File Menu Free,0,3.6, 5.1 MB,1,0
95, Business, OS X 10.11  ,New Edge,0,5.0, 9.6 MB,1,0
96, Business, OS 10.14  ,Network Mom Availability,10,5.0, 17 MB,1,1
97, Business, OS 10.14  ,Network Mom ACL Analyzer,10,0.0, 4.9 MB,1,1
98, Utilities, OS X 10.7  ,Network Logger IT,30,3.3, 5.5 MB,1,1
99, Business, OS X 10.7  ,Network Inventory Advisor,0,1.4, 3.9 MB,1,0
100, Utilities, OS 10.13  ,NetSpot PRO Wi-Fi Reporter,150,0.0, 10.5 MB,6,1
101, Utilities, OS 10.13  ,NetSpot Home,50,3.0, 10.5 MB,6,1
102, Utilities, OS X 10.11  ,NetShade,0,4.0, 7.5 MB,4,0
103, Business, OS X 10.6 or later,NetConference,0,3.0, 39.8 MB,0,0
104, Business, OS X 10.10  ,NET_Toolkit,0,5.0, 18.3 MB,1,0
105, Productivity, OS 10.12  ,NeoOffice,30,3.4, 254.4 MB,26,1
106, Business, OS X 10.6  ,NCIDQ Tests,7,1.0, 9.8 MB,1,1
107, Utilities, OS X 10.10  ,NC World Clocks - Notication Center World Clocks,2,5.0, 559.7 KB,1,1
108, Graphics & Design, OS X 10.6 or later,Nature Art,10,3.0, 153.7 MB,1,1
109, Education, OS X 10.7  ,National Counselor Exam Prep,5,1.0, 5.4 MB,1,1
110, Business, OS X 10.8  ,Nano Services Booking,8,5.0, 3.6 MB,2,1
111, Business, OS X 10.8  ,Nano Service Management,8,0.0, 3.8 MB,2,1
112, Business, OS X 10.8  ,Nano Sales Manager,10,3.0, 5.6 MB,2,1
113, Business, OS X 10.8  ,Nano Inventory,10,3.3, 3.9 MB,2,1
114, Business, OS X 10.8  ,Nano Hotel Booking,10,5.0, 6 MB,2,1
115, Finance, OS X 10.8  ,Nano Home Inventory,8,2.0, 9 MB,2,1
116, Business, OS X 10.10  ,Nano Enterprise,15,2.5, 5.7 MB,3,1
117, Business, OS X 10.9  ,Nano Employee Timesheet,10,1.0, 7.6 MB,2,1
118, Finance, OS X 10.8  ,Nano Balance Sheet,10,3.0, 4.9 MB,2,1
119, Productivity, OS X 10.6 or later,Nag,0,3.8, 5.2 MB,1,0
120, Finance, OS X 10.7 or later,MyMoney Free,0,1.4, 102.2 MB,1,0
121, Finance, OS X 10.7 or later,MyMoney,50,1.2, 100.3 MB,1,1
122, Business, OS X 10.6.6 or later,MyLittleOCR,3,1.0, 6.1 MB,1,1
123, Business, OS X 10.6.6 or later,MyLittleFTP,5,1.0, 2.2 MB,1,1
124, Business, OS X 10.10  ,MyEterm,26,0.0, 3.2 MB,1,1
125, Utilities, OS X 10.6.6 or later,MyCDBurner,2,1.0, 4.8 MB,1,1
126, Business, OS 10.12  ,My Wireless Information,5,0.0, 4.6 MB,1,1
127, Business, OS 10.12  ,My Warehouse,10,0.0, 11.1 MB,2,1
128, Business, OS 10.12  ,My Recent Documents,2,0.0, 5 MB,1,1
129, Video, OS X 10.6.6 or later,My MP4 Trimmer,5,1.0, 1.3 MB,1,1
130, Finance, OS X 10.9  ,My Mortgage Calculator,2,2.7, 2.3 MB,1,1
131, Finance, OS X 10.9  ,My Loan Calculator,1,3.5, 1.1 MB,1,1
132, Business, OS X 10.9  ,My Eyes Only,11,3.1, 12.3 MB,1,1
133, Productivity, OS X 10.9  ,MW Bundle for MS Office,40,1.0, 38.8 MB,1,1
134, Education, OS X 10.10  ,Multiple Linear Regression,5,1.0, 10.6 MB,1,1
135, Education, OS X 10.10  ,Multiple Curvilinear Reg,5,0.0, 10.8 MB,1,1
136, Productivity, OS 10.13  ,MultiDrive for Google Drive,7,5.0, 33.7 MB,1,1
137, Business, OS X 10.8 or later,MultiClient,10,2.0, 2.8 MB,1,1
138, Finance, OS X 10.7  ,Multi Trend Pro IEX t&b,0,0.0, 3.7 MB,1,0
139, Finance, OS X 10.8  ,Multi Trend Pro IEX ed.,30,1.0, 2.9 MB,1,1
140, Finance, OS X 10.8  ,Multi Trend Pro,0,3.8, 2.9 MB,1,0
141, Education, OS X 10.7  ,MSP Certification Prep,4,0.0, 576.1 KB,1,1
142, Business, OS X 10.7  ,Msg Viewer Pro,5,4.2, 5.8 MB,1,1
143, Business, OS X 10.9  ,MSG Viewer for Outlook Pro,19,4.2, 15.5 MB,25,1
144, Business, OS X 10.9  ,MSG Viewer for Outlook,0,2.1, 15.5 MB,25,0
145, Business, OS X 10.11  ,MotionPro Plus,0,1.4, 3.4 MB,3,0
146, Productivity, OS X 10.6.6  ,MSG - Viewer & Extractor,2,1.0, 2.4 MB,3,1
147, Finance, OS X 10.6 or later,Mortgage Calculator - Financial Toolkit,2,3.0, 4.7 MB,1,1
148, Business, OS X 10.7 or later,MotionDetect,5,1.0, 1.5 MB,1,1
149, Finance, OS X 10.6  ,Mortgage Calculator,2,4.0, 2 MB,1,1
150, Productivity, OS 10.12  ,Moonlight for Freelancers,0,3.0, 9.8 MB,1,0
151, Finance, OS X 10.10.0  ,Moonitor,23,0.0, 75.6 MB,50,1
152, Finance, OS X 10.10  ,Mortgage,2,1.0, 1.4 MB,22,1
153, Finance, OS X 10.11.0  ,Moonie,0,0.0, 41 MB,1,0
154, Business, OS X 10.10  ,Moon Invoice  Easy Invoicing,0,4.3, 17.6 MB,9,0
155, Business, OS X 10.9  ,"Moon Invoice - Estimate, purchase order, timesheet",100,4.2, 25.1 MB,1,1
156, Finance, OS X 10.8  ,Monthly Expenses,5,4.0, 2.8 MB,9,1
157, Finance, OS 10.13  ,Monthly Budget,7,1.0, 7 MB,1,1
158, Business, OS 10.13  ,Monitor Exchange for Bitso,1,0.0, 3.4 MB,1,1
159, Utilities, OS X 10.9  ,Monitor Banda Larga,0,1.3, 1.6 MB,1,0
160, Finance, OS 10.12  ,MoneyWiz 3 - Fiat & Crypto,0,4.4, 27.3 MB,23,0
161, Finance, OS 10.12  ,MoneySpider,6,1.0, 1.9 MB,1,1
162, Finance, OS X 10.8  ,MoneyWiz 2 - Personal Finance,20,4.5, 20.6 MB,23,1
163, Developer Tools, OS X 10.9  ,MongoDBX,9,1.0, 5.8 MB,2,1
164, Finance, OS X 10.10  ,MoneyControl - Income and Expense tracker,0,4.1, 4.5 MB,4,0
165, Finance, OS 10.15  ,MoneyCoach,0,3.0, 23.4 MB,15,0
166, Finance, OS X 10.11  ,Money Pro: Personal Finance,30,3.5, 34.7 MB,24,1
167, Finance, OS X 10.10  ,Money Manager- Expense Tracker,10,0.0, 3.9 MB,3,1
168, Finance, OS X 10.10  ,Money (with sync),0,3.3, 113.6 MB,24,0
169, Social Networking, OS X 10.10  ,Monal - XMPP chat,0,3.0, 2.4 MB,1,0
170, Business, OS X 10.11  ,MofficeTalk,0,0.0, 16.3 MB,5,0
171, Business, OS X 10.11  ,Moffice CRMCall,0,0.0, 7.3 MB,2,0
172, Business, OS X 10.10  ,Moffice AutoSync,0,0.0, 8.5 MB,1,0
173, Graphics & Design, OS X 10.7  ,Mockup,5,0.0, 8.3 GB,1,1
174, Business, OS X 10.9  ,Mocha TN5250 Lite,0,1.0, 1.3 MB,1,0
175, Business, OS X 10.9  ,Mocha TN5250,30,2.0, 1.3 MB,1,1
176, Business, OS X 10.9  ,Mocha TN3270 Lite,0,2.0, 1.8 MB,1,0
177, Business, OS X 10.9  ,Mocha TN3270,30,2.7, 1.8 MB,1,1
178, Business, OS 10.12  ,Mobility,0,4.6, 3.1 MB,6,0
179, Business, OS X 10.9  ,MobilePASS,0,2.0, 4.9 MB,1,0
180, Business, OS 10.13  ,MobileIron Tunnel,0,0.0, 2.7 MB,1,0
181, Utilities, OS X 10.6 or later,MobileEye_Desktop,0,3.0, 3.6 MB,3,0
182, Productivity, OS 10.13  ,Mobile CRM Anywhere,0,0.0, 13 MB,1,0
183, Business, OS X 10.10  ,Miya Translate,1,4.0, 973.4 KB,1,1
184, Business, OS X 10.11  ,Mmm Templates for Pages L Lt,0,2.9, 59.8 MB,1,0
185, Business, OS X 10.10.0  ,Mirror's Photo,0,0.0, 55.5 MB,50,0
186, Video, OS X 10.10  ,Mirror for Samsung TV,10,2.9, 12 MB,1,1
187, Graphics & Design, OS X 10.11.5  ,Mini QR Contacts 2,7,5.0, 3.5 MB,1,1
188, Business, OS X 10.8  ,MindView 7,350,0.0, 270.8 MB,2,1
189, Business, OS X 10.8  ,MindView 6,350,0.0, 213.6 MB,1,1
190, Productivity, OS 10.13  ,MindNode 6,0,4.7, 22.9 MB,14,0
191, Productivity, OS X 10.9  ,Mindcad Incubator,11,5.0, 1.4 MB,3,1
192, Business, OS X 10.7  ,Mind Map Pro,10,2.8, 531 KB,1,1
193, Productivity, OS 10.12  ,Microsoft Word,0,4.2, 1.1 GB,26,0
194, Business, OS X 10.9  ,Microsoft Remote Desktop 8,0,3.1, 13.9 MB,1,0
195, Business, OS 10.12  ,Microsoft Remote Desktop 10,0,2.9, 19.3 MB,1,0
196, Productivity, OS 10.12  ,Microsoft PowerPoint,0,4.3, 732.3 MB,26,0
197, Productivity, OS 10.12  ,Microsoft Outlook,0,4.0, 800 MB,26,0
198, Productivity, OS 10.12  ,Microsoft Excel,0,4.2, 814.4 MB,26,0
199, Utilities, OS X 10.9  ,Microphone Volume Monitor,0,5.0, 293.5 KB,1,0
200, Business, OS X 10.11  ,MiCollab,0,4.1, 69.4 MB,15,0
201, Business, OS X 10.6 or later,MEyePro,10,1.5, 2.9 MB,3,1
202, Business, OS X 10.6 or later,MEye,0,1.8, 2.8 MB,1,0
203, Business, OS X 10.9.0  ,MEVISIO,0,0.0, 49.1 MB,50,0
204, Business, OS 10.14  ,Metaset,6,0.0, 7.9 MB,1,1
205, Productivity, OS X 10.6  ,Metanota,0,3.3, 8.8 MB,1,0
206, Productivity, OS X 10.11  ,Metal Calculator 3D,5,0.0, 6.1 MB,2,1
207, Utilities, OS X 10.6.6 or later,MetaClean Full,45,3.0, 55.1 MB,1,1
208, Utilities, OS X 10.6.6 or later,MetaClean for PDF Documents,22,0.0, 68 MB,1,1
209, Business, OS 10.13  ,MesaMeter,0,0.0, 42.3 MB,1,0
210, Utilities, OS 10.14  ,MesaClip,1,0.0, 9.8 MB,1,1
211, Business, OS X 10.11.6  ,Merlin Project: Gantt & Kanban,0,3.8, 25.3 MB,6,0
212, Productivity, OS X 10.11.6  ,Merlin Project Express - Gantt,0,3.5, 25.4 MB,6,0
213, Business, OS 10.12  ,Meritrick,0,0.0, 2.5 MB,1,0
214, Business, OS X 10.6.6  ,MergePDF : Combine multiple PDF files into one,2,4.3, 3.6 MB,1,1
215, Business, OS X 10.9  ,Merge Tables Wizard for Excel,0,4.2, 2.3 MB,1,0
216, Business, OS X 10.9  ,MenuTab for Yahoo,3,2.2, 1.4 MB,1,1
217, Business, OS X 10.7  ,"MenuTab for LinkedIn - Your Business Profiles, Contacts, Network & More in Menu Bar",3,1.7, 1.3 MB,2,1
218, Business, OS X 10.9  ,"Menu Tab - for Microsoft Office Quickly access Word, Excel, Powerpoint and Outlook from menu bar tab window",5,1.5, 3.3 MB,1,1
219, Utilities, OS X 10.8  ,Menubar World Clocks,2,4.0, 305.8 KB,1,1
220, Business, OS X 10.9  ,Membership Management,45,0.0, 149.3 MB,6,1
221, Business, OS X 10.10  ,Member Administration,1,0.0, 2.1 MB,2,1
222, Business, OS 10.14  ,Melon - CRM Client Management,0,1.0, 22.4 MB,8,0
223, Productivity, OS X 10.9.0  ,MeisterTask,0,4.5, 51.2 MB,13,0
224, Business, OS X 10.11  ,Meh Templates for MS Word L,12,0.0, 617.4 MB,1,1
225, Business, OS X 10.8  ,MegaFonts,5,3.5, 965.3 MB,1,1
226, Video, OS X 10.10  ,Meeting11 Business,0,0.0, 11.5 MB,3,0
227, Productivity, OS X 10.9  ,Meeting Pad,7,2.2, 34.7 MB,2,1
228, Business, OS X 10.9  ,Meeting Notes,2,1.0, 1.1 MB,1,1
229, Utilities, OS X 10.7  ,Media Downloader,30,1.0, 1 MB,1,1
230, Business, OS X 10.9  ,MDB,8,1.0, 3.3 MB,1,1
231, Business, OS X 10.10.0  ,MaxBulk Mailer SE,45,3.8, 32.9 MB,13,1
232, Business, OS X 10.6.0  ,Math Calculator for Scientific,3,0.0, 1.3 MB,5,1
233, Business, OS X 10.10  ,Master Class - Guides for PowerPoint 2011,6,1.0, 494.6 MB,1,1
234, Business, OS X 10.10  ,Master Class - Guides for Microsoft Word 2011,6,1.0, 448.8 MB,1,1
235, Business, OS X 10.10  ,Master Class - Guides for Microsoft Excel 2011,6,1.0, 366.7 MB,1,1
236, Finance, OS 10.13  ,MARKETSPEED,0,5.0, 17.2 MB,1,0
237, Business, OS 10.14  ,MarketingPlan,3,0.0, 617 KB,1,1
238, Education, OS X 10.9  ,MarketingFox,19,0.0, 22.6 MB,1,1
239, Finance, OS X 10.10  ,Market Watch,1,3.0, 2.3 MB,1,1
240, Finance, OS X 10.8  ,Market Junkie,0,1.7, 1.7 MB,3,0
241, Business, OS X 10.11  ,Market Alarm,0,1.7, 1 MB,1,0
242, Business, OS X 10.7  ,Mark Bric,0,5.0, 89.5 MB,1,0
243, Business, OS X 10.6.6  ,MarginMaster,2,4.2, 248.4 KB,1,1
244, Finance, OS X 10.10  ,Margin Calculator,0,2.5, 4.6 MB,1,0
245, Productivity, OS X 10.11  ,Map Vector - Template set for Powerpoint,5,1.0, 3.6 MB,1,1
246, Business, OS X 10.11  ,Map Vector - template set for Keynote,5,0.0, 3.6 MB,1,1
247, Business, OS X 10.9  ,Manager ausgeliehener Artikel,28,0.0, 134 MB,1,1
248, Utilities, OS 10.12  ,Management,0,0.0, 7.8 MB,1,0
249, Business, OS X 10.9  ,Manage It - Project Manager,0,4.0, 5.6 MB,1,0
250, Business, OS 10.13  ,Make CSV,3,0.0, 3.3 MB,2,1
251, Business, OS X 10.10  ,MailTab for MS Outlook - Menu Tab Bar,5,2.3, 1.6 MB,1,1
252, Business, OS X 10.6.6 or later,MailShoot,0,4.0, 7.9 MB,1,0
253, Business, OS X 10.8  ,MailSender,35,1.0, 2.1 MB,1,1
254, Business, OS X 10.8  ,MailRaider Pro,5,4.7, 22.2 MB,4,1
255, Business, OS X 10.6.6 or later,Mailings Lite,10,1.0, 2 MB,1,1
256, Business, OS X 10.6.6 or later,Mailings,25,1.0, 2.1 MB,1,1
257, Business, OS X 10.11  ,Mailing List Lite,0,0.0, 4.1 MB,1,0
258, Business, OS X 10.9  ,MailChimp Import,0,3.2, 985.7 KB,1,0
259, Business, OS X 10.9  ,Mail+ for Outlook,3,2.7, 928.4 KB,1,1
260, Productivity, OS X 10.8  ,Mail Stationery Expert - Templates for Mail,10,1.7, 88.1 MB,1,1
261, Business, OS X 10.9  ,Mail Scheduler Pro,30,3.0, 5.3 MB,1,1
262, Business, OS 10.13  ,Mail PreSync,14,0.0, 7.3 MB,1,1
263, Graphics & Design, OS X 10.8  ,Mail Merge,50,1.0, 6.2 MB,1,1
264, Productivity, OS X 10.10  ,Mail for Outlook,3,1.7, 981.6 KB,1,1
265, Productivity, OS X 10.11  ,Mail Doctor,5,5.0, 535.1 KB,1,1
266, Utilities, OS X 10.9.0  ,Mail Detective,0,1.3, 1.9 MB,2,0
267, Business, OS 10.12  ,Mail Archiver X Easy,-1,0.0, 103.5 MB,2,0
268, Games, OS X 10.9.0  ,Magnate Club,8,0.0, 446.4 MB,1,1
269, Productivity, OS X 10.11  ,MagicConnect Viewer,0,0.0, 2.9 MB,2,0
270, Utilities, OS X 10.10  ,MAFF Viewer,-1,0.0, 2.9 MB,1,0
271, Productivity, OS X 10.11  ,Madraw,5,0.0, 16.7 MB,1,1
272, Business, OS X 10.10  ,Macula Mobile,0,0.0, 17.7 MB,1,0
273, Productivity, OS X 10.10  ,Mach Write,4,3.0, 2 MB,1,1
274, Productivity, OS X 10.11  ,Mach Note,-1,0.0, 7.4 MB,1,0
275, Utilities, OS X 10.10  ,MacCleanse,20,2.9, 25.4 MB,1,1
276, Business, OS X 10.9.0  ,M&M POS,0,5.0, 54.9 MB,50,0
277, Productivity, OS X 10.9.0  ,Luffa Meetings Capture,0,5.0, 56.7 MB,50,0
278, Reference, OS X 10.9  ,LogoVista,0,0.0, 640.4 MB,1,0
279, Business, OS X 10.7  ,Logos123,20,0.0, 13.2 MB,1,1
280, Business, OS X 10.7  ,Logos for Adobe PhotoshopÎÂ,15,2.0, 440.9 KB,1,1
281, Business, OS X 10.7  ,Logos for Adobe InDesignÎÂ,11,1.0, 1 MB,1,1
282, Business, OS X 10.7  ,Logos for Adobe IllustratorÎÂ,15,1.0, 535.1 KB,1,1
283, Graphics & Design, OS X 10.6.6 or later,Logo Templates Mega Pack! for Adobe Photoshop with PSD Files,20,2.6, 272 MB,1,1
284, Graphics & Design, OS X 10.6.6 or later,Logo Templates for Adobe Photoshop with PSD Files Pack 4,10,0.0, 53.4 MB,1,1
285, Graphics & Design, OS X 10.6.6 or later,Logo Templates for Adobe Photoshop with PSD Files Pack 3,10,0.0, 74.1 MB,1,1
286, Graphics & Design, OS X 10.6.6 or later,Logo Templates for Adobe Photoshop with PSD Files Lite Pack,0,2.0, 13.5 MB,1,0
287, Business, OS X 10.7  ,Logo Store for Adobe PhotoshopÎÂ,0,1.5, 191.1 KB,1,0
288, Photography, OS X 10.7  ,Logo Store for Adobe InDesignÎÂ,0,1.7, 211.6 KB,1,0
289, Graphics & Design, OS X 10.6.6  ,Logo Pop Free,0,1.9, 5.5 MB,1,0
290, Graphics & Design, OS X 10.6.6  ,Logo Pop Lite - Logo Design,2,1.5, 7.4 MB,1,1
291, Graphics & Design, OS X 10.9  ,Logo Pop - Easy Logo Design,10,0.0, 17.2 MB,1,1
292, Business, OS X 10.7 or later,Logitech Camera Settings,0,1.8, 1.8 MB,18,0
293, Productivity, OS X 10.7 or later,Logical Mail Free,0,3.5, 862.8 KB,2,0
294, Business, OS X 10.10  ,Lockit,-1,3.0, 8.1 MB,1,0
295, Developer Tools, OS X 10.9  ,Localize Apps Now - Translate your apps,0,5.0, 3.7 MB,1,0
296, Business, OS X 10.7  ,Local Cloud,0,5.0, 1.2 MB,2,0
297, Finance, OS X 10.8  ,LoanStar,1,4.8, 1.1 MB,1,1
298, Finance, OS X 10.8  ,Loan Calcz,3,4.0, 158.3 KB,1,1
299, Finance, OS X 10.7  ,Loan Calc,9,1.0, 8 MB,9,1
300, Finance, OS X 10.9  ,Loan Analyzer,2,1.5, 1.2 MB,1,1
301, Business, OS X 10.11  ,Liya,0,5.0, 3.1 MB,1,0
302, Business, OS X 10.6.6 or later,Living_Psychrometrics,6,0.0, 5 MB,0,1
303, Productivity, OS X 10.8  ,"LiveTodo - Tasks, Reminders & To-Do Lists",0,1.8, 3 MB,1,0
304, Productivity, OS X 10.11  ,Lively Logic,50,5.0, 6.7 MB,1,1
305, Business, OS 10.12  ,LiveHelpNow,0,5.0, 2.3 MB,1,0
306, Business, OS X 10.11  ,Livedesk Studio,0,0.0, 6.1 MB,1,0
307, Productivity, OS X 10.7  ,ListSpot,1,0.0, 580.2 KB,1,1
308, Utilities, OS X 10.6.6  ,Linker,0,0.0, 58.9 MB,1,0
309, Business, OS X 10.9  ,LinkBuilder,10,5.0, 1.6 MB,1,1
310, Education, OS X 10.11  ,LinearReg,5,0.0, 10.2 MB,1,1
311, Business, OS 10.12  ,LINE WORKS,0,5.0, 18.3 MB,5,0
